county,house_type,est_price,zipcode,lat,lng
Fresno ,1 bedroom,157170,93612,36.813456,-119.70826
Contra Costa ,1 bedroom,1255251,94583,37.75735,-121.95213
Los Angeles ,1 bedroom,336248,90744,33.784018,-118.25897
Solano ,1 bedroom,297370,94534,38.245844,-122.101917
Merced ,1 bedroom,178559,93635,37.048385,-120.86983
Sonoma ,1 bedroom,327033,94954,38.243299,-122.6069
Riverside ,1 bedroom,132958,92543,33.73542,-116.97401
Sacramento ,1 bedroom,219402,95835,38.664824,-121.52061
Los Angeles ,1 bedroom,462628,91748,33.985012,-117.89705
Los Angeles ,1 bedroom,249634,91306,34.209407,-118.57735
Riverside ,1 bedroom,364926,92591,33.52775,-117.12056
San Bernardino ,1 bedroom,249640,92374,34.063264,-117.16888
Los Angeles ,1 bedroom,692639,90035,34.05266,-118.38531
Los Angeles ,1 bedroom,366282,91607,34.165706,-118.39986
Riverside ,1 bedroom,210623,92570,33.784051,-117.29812
Riverside ,1 bedroom,84711,92240,33.952303,-116.50804
Los Angeles ,1 bedroom,397261,91311,34.259052,-118.59426
Los Angeles ,1 bedroom,451125,90007,34.026448,-118.2829
Santa Clara ,1 bedroom,671219,95128,37.316983,-121.93555
Riverside ,1 bedroom,217749,92879,33.8808,-117.54068
Los Angeles ,1 bedroom,498163,90012,34.061611,-118.23944
Orange ,1 bedroom,319736,92703,33.747067,-117.90433
Yolo ,1 bedroom,294236,95695,38.697238,-121.80944
Santa Clara ,1 bedroom,698446,95134,37.412539,-121.94461
San Mateo ,1 bedroom,1027557,94061,37.463911,-122.23396
Ventura ,1 bedroom,356837,93012,34.218756,-118.99213
Ventura ,1 bedroom,322364,91362,34.190804,-118.83704
Sonoma ,1 bedroom,298004,95401,38.440111,-122.74563
Tulare ,1 bedroom,135960,93292,36.358928,-119.24027
Solano ,1 bedroom,366524,95688,38.380528,-121.99192
Stanislaus ,1 bedroom,212024,95380,37.48858,-120.85196
San Bernardino ,1 bedroom,196149,92410,34.106965,-117.2975
San Mateo ,1 bedroom,639907,94401,37.570385,-122.32044
Los Angeles ,1 bedroom,598675,90048,34.073759,-118.37376
Orange ,1 bedroom,279027,92707,33.719118,-117.87143
Santa Clara ,1 bedroom,646912,94043,37.40679,-122.07461
San Diego ,1 bedroom,522747,92107,32.7409,-117.24434
San Luis Obispo ,1 bedroom,465656,93401,35.262548,-120.65196
San Francisco ,1 bedroom,750884,94131,37.741797,-122.4378
Kern ,1 bedroom,57711,93555,35.599177,-117.68065
Riverside ,1 bedroom,258723,92571,33.822068,-117.21514
San Mateo ,1 bedroom,742906,94014,37.699182,-122.45035
Orange ,1 bedroom,553540,90620,33.841014,-118.00969
Shasta ,1 bedroom,144823,96001,40.56816,-122.41519
Santa Barbara ,1 bedroom,242541,93458,34.956344,-120.45243
Los Angeles ,1 bedroom,603466,91505,34.166906,-118.34366
Orange ,1 bedroom,595307,92867,33.811566,-117.82919
Los Angeles ,1 bedroom,599521,90068,34.122058,-118.3379
Los Angeles ,1 bedroom,473234,91107,34.151066,-118.08974
Los Angeles ,1 bedroom,254088,91750,34.117047,-117.77097
Los Angeles ,1 bedroom,476055,90032,34.08166,-118.17568
Ventura ,1 bedroom,271134,93036,34.22942,-119.178814
Riverside ,1 bedroom,154302,92264,33.798669,-116.51887
Los Angeles ,1 bedroom,394093,91206,34.156674,-118.22937
Los Angeles ,1 bedroom,271416,90807,33.828366,-118.18235
Orange ,1 bedroom,474362,92806,33.835465,-117.87362
Orange ,1 bedroom,305293,92831,33.878981,-117.89325
Los Angeles ,1 bedroom,406835,90033,34.050411,-118.21195
Santa Clara ,1 bedroom,425207,95116,37.34964,-121.8544
Los Angeles ,1 bedroom,385247,90063,34.045161,-118.1865
Monterey ,1 bedroom,311915,93905,36.681161,-121.61538
San Diego ,1 bedroom,303809,92113,32.697402,-117.12001
San Diego ,1 bedroom,345687,92065,33.035844,-116.8513
Los Angeles ,1 bedroom,297138,90001,33.972914,-118.24878
Los Angeles ,1 bedroom,348164,90806,33.801767,-118.1858
San Joaquin ,1 bedroom,274104,95337,37.782332,-121.23578
Ventura ,1 bedroom,525373,93001,34.311203,-119.30164
Sonoma ,1 bedroom,582761,94952,38.243734,-122.69345
Sacramento ,1 bedroom,253269,95662,38.682803,-121.2231
Yuba ,1 bedroom,136466,95901,39.15973,-121.53735
San Francisco ,1 bedroom,910314,94133,37.801878,-122.41018
Los Angeles ,1 bedroom,339882,91790,34.068059,-117.93835
Orange ,1 bedroom,425106,92629,33.475302,-117.70327
Merced ,1 bedroom,159893,95301,37.35115,-120.6056
Los Angeles ,1 bedroom,294117,91789,34.018361,-117.85438
Los Angeles ,1 bedroom,544970,91104,34.169356,-118.12392
Mendocino ,1 bedroom,280204,95482,39.154946,-123.20088
Los Angeles ,1 bedroom,333418,90220,33.890566,-118.23666
Stanislaus ,1 bedroom,247695,95361,37.776528,-120.84756
Kings ,1 bedroom,146210,93245,36.312075,-119.80349
Marin ,1 bedroom,780247,94941,37.898058,-122.54134
Contra Costa ,1 bedroom,773668,94526,37.811676,-121.98647
Sacramento ,1 bedroom,219025,95820,38.535795,-121.44663
Riverside ,1 bedroom,170367,92270,33.762944,-116.42249
Stanislaus ,1 bedroom,171516,95351,37.626067,-120.99955
Sonoma ,1 bedroom,489932,95407,38.404991,-122.7275
Tehama ,1 bedroom,107118,96080,40.183837,-122.24074
Los Angeles ,1 bedroom,277061,91350,34.481172,-118.42821
Shasta ,1 bedroom,154475,96002,40.539302,-122.33279
Los Angeles ,1 bedroom,683917,90017,34.052561,-118.26434
Los Angeles ,1 bedroom,730418,90038,34.089459,-118.3285
Los Angeles ,1 bedroom,360229,90242,33.92018,-118.14291
Tuolumne ,1 bedroom,219109,95370,37.995238,-120.3437
Los Angeles ,1 bedroom,481244,90230,33.997179,-118.40145
Nevada ,1 bedroom,270182,95945,39.202725,-121.02076
Los Angeles ,1 bedroom,500640,91326,34.276154,-118.54581
Los Angeles ,1 bedroom,350992,91711,34.110009,-117.71973
Sacramento ,1 bedroom,155639,95834,38.642805,-121.50466
Orange ,1 bedroom,533476,92807,33.850515,-117.79113
Los Angeles ,1 bedroom,430271,91773,34.103341,-117.81814
Los Angeles ,1 bedroom,550745,91001,34.192102,-118.14206
Los Angeles ,1 bedroom,316197,91355,34.406519,-118.56214
San Mateo ,1 bedroom,783770,94070,37.499175,-122.26655
Sonoma ,1 bedroom,358244,95409,38.460594,-122.6422
Los Angeles ,1 bedroom,360029,91754,34.048207,-118.14161
Los Angeles ,1 bedroom,305669,90301,33.955913,-118.35868
Santa Clara ,1 bedroom,988972,95120,37.213624,-121.85671
San Diego ,1 bedroom,280984,92108,32.7736,-117.13785
Butte ,1 bedroom,115527,95966,39.491076,-121.49468
Fresno ,1 bedroom,81102,93705,36.786948,-119.82747
Santa Barbara ,1 bedroom,789363,93101,34.420163,-119.7065
Los Angeles ,1 bedroom,286040,91316,34.168753,-118.51636
San Diego ,1 bedroom,291863,91941,32.761801,-117.01273
Orange ,1 bedroom,1428766,92651,33.535325,-117.77192
Los Angeles ,1 bedroom,774123,90064,34.03457,-118.42843
Riverside ,1 bedroom,156344,92220,33.920803,-116.87897
Kern ,1 bedroom,157674,93561,35.132673,-118.50781
Orange ,1 bedroom,230776,92637,33.60712,-117.73108
Marin ,1 bedroom,402419,94903,38.019022,-122.54589
Los Angeles ,1 bedroom,531163,90504,33.870414,-118.33065
Madera ,1 bedroom,132557,93638,36.991476,-119.98729
San Diego ,1 bedroom,290526,92131,32.918035,-117.08438
San Luis Obispo ,1 bedroom,328484,93422,35.474913,-120.676
Los Angeles ,1 bedroom,564121,91780,34.101608,-118.05606
El Dorado ,1 bedroom,331049,95682,38.641158,-120.97109
Fresno ,1 bedroom,101234,93702,36.741199,-119.7553
Alameda ,1 bedroom,619984,94602,37.799727,-122.21211
San Diego ,1 bedroom,310919,92110,32.766482,-117.20077
Santa Clara ,1 bedroom,404067,95122,37.329641,-121.83359
Los Angeles ,1 bedroom,323706,90604,33.929163,-118.009
Orange ,1 bedroom,277975,92701,33.747017,-117.86248
San Bernardino ,1 bedroom,330023,91739,34.127819,-117.5246
Los Angeles ,1 bedroom,337639,90002,33.948315,-118.24845
Los Angeles ,1 bedroom,703506,90039,34.110425,-118.25832
Merced ,1 bedroom,127529,95340,37.294648,-120.47474
Sutter ,1 bedroom,240910,95993,39.109272,-121.68033
Los Angeles ,1 bedroom,503444,91776,34.089059,-118.0951
San Luis Obispo ,1 bedroom,492647,93420,35.119678,-120.55116
Santa Clara ,1 bedroom,1193371,95070,37.270543,-122.02305
Los Angeles ,1 bedroom,646447,91325,34.235055,-118.51766
Orange ,1 bedroom,472197,92802,33.806965,-117.92594
Monterey ,1 bedroom,417343,93955,36.615813,-121.83461
San Joaquin ,1 bedroom,188064,95204,37.974273,-121.3147
San Mateo ,1 bedroom,983321,94063,37.483504,-122.2144
Santa Barbara ,1 bedroom,225052,93454,34.900809,-120.34876
Los Angeles ,1 bedroom,428766,91403,34.152513,-118.46396
San Diego ,1 bedroom,234988,92123,32.803799,-117.13595
